product_id,name,short_description,price,original_price,discount_rate,rating_average,review_count,category_name,brand_name,url
115088020,"Pin sạc dự phòng Baseus Bipow Digital Display Power Bank 20000mAh ( 15W/20W, USB*2+Type C , LED Display, 2 Way Fast charge ) - Hàng chính hãng","Thương hiệu: BASEUSTênsản phẩm: Baseus Bipow Digital Display Power BankLoại pin: Pin Li-polymerĐiểm nổi bật: Có đèn LED, Có màn hình kỹ thuật sốGiao diện đầu ra: USB*2 + USB-Type CChứng nhận: CE, ...",429000,450000,5,4.6,62,,Baseus,pin-sac-du-phong-baseus-bipow-digital-display-power-bank-20000mah-15w-20w-usb-2-type-c-led-display-2-way-fast-charge-hang-chinh-hang-p115088020.html?spid=252892257
49167000,Kính Cường Lực GOR Cho IPHONE 6 / 7 / 8 Vát Viền 2.9D - Full Box - Hàng Nhập Khẩu,1 Kính Cường Lực GOR Cao Cấp Loại Không Full Màn Hình Sản phẩm tương thích : Iphone 6 / 7 / 8 GOR là thương hiệu hàng đầu về sản xuất kính cường lực cho các thiết bị di động. Sản phẩm của GOR với ...,118000,118000,0,5.0,1,,Gor,kinh-cuong-luc-gor-cho-iphone-6-7-8-vat-vien-2-9d-full-box-hang-nhap-khau-p49167000.html?spid=50402570
275602074,Bộ vi xử lý CPU AMD Ryzen 3 4300G (3.8GHz Boost 4.0GHz / 4 nhân 8 luồng / 6MB / AM4) – Hàng Chính Hãng,SocketAM4Bộ nhớ đệm4MBSố nhân4Số luồng8Xung cơ bản3.8GhzXung tối đa4.0GhzTiến trình CPU7nmMở khóa để ép xungCóTích hợp card đồ họaVGA Radeon RX Vega 8 Graphics...,2790000,2790000,0,0.0,0,,AMD,bo-vi-xu-ly-cpu-amd-ryzen-3-4300g-3-8ghz-boost-4-0ghz-4-nhan-8-luong-6mb-am4-hang-chinh-hang-p275602074.html?spid=275602075
213891746,Bo Mạch Chủ (Mainboard) Gigabyte H110M-Gaming3 - HÀNG CHÍNH HÃNG,Bo Mạch Chủ (Mainboard) Gigabyte H110M-Gaming3 (CTY Box-3 Năm)- Gigabyte H110M-Gaming 3- Chipset: Intel H110- Socket: LGA1151- Hỗ trợ CPU: Support for Intel Core i7 processors/Intel Core i5 processors...,1690000,1690000,0,0.0,0,,Gigabyte,bo-mach-chu-mainboard-gigabyte-h110m-gaming3-hang-chinh-hang-p213891746.html?spid=213891747
53639843,Tủ Lạnh Inverter Samsung 208 Lít RT20HAR8DBU/SV- Hàng Chính Hãng - Chỉ Giao tại HCM,  Ngăn chặn mùi hôi khó chịu với bộ lọc than hoạt tính DeodorizerBộ lọc than hoạt tính Deodorizer trên tủ lạnh Samsung Inverter 208 lít RT20HAR8DBU/SV giúp loại bỏ hoàn toàn nhữn...,4795000,7999000,40,4.8,25,,Samsung,tu-lanh-inverter-samsung-208-lit-rt20har8dbu-sv-hang-chinh-hang-chi-giao-tai-hcm-p53639843.html?spid=56360056
32701092,Tư Duy Thông Minh Hành Động Thông Minh,Bạn có muốn học cách cân nhắc tình huống và đưa ra giải pháp giải quyết vấn đề hiệu quả hơn? Bạn có muốn biết cách đưa ra quyết định một cách tự tin và áp dụng chúng vào thực tiễn mà không phải lo lắn...,110000,110000,0,0.0,0,,,tu-duy-thong-minh-hanh-dong-thong-minh-p32701092.html?spid=212578896
276101798,Bút cảm ứng 3 trong 1 đa năng cho / iPad Android/ Điện Thoại/ Máy Tính Bảng/ Ipad Bút 3 Trong 1 Công Dụng Cảm Ứng Và Di Chuyển Trên Mọi Bề Mạt Điện Thoại Hàng Nhập Khẩu - Giao Màu Ngẫu Nhiên,"Bút vẽ ma thuật 3 trong 1Chính xác và nhạy , không cần sạc , không cần Bluetooth . 3 ngòi khác nhau trong một . 1.Bút biĐể viết trên giấy . 2.Đầu bút cảm ứng lớnĐối với trò chơi và giải trí...",100000,100000,0,5.0,2,,LuckyJQR,but-cam-ung-3-trong-1-da-nang-cho-ipad-android-dien-thoai-may-tinh-bang-ipad-but-3-trong-1-cong-dung-cam-ung-va-di-chuyen-tren-moi-be-mat-dien-thoai-hang-nhap-khau-p276101798.html?spid=276101799
273472182,Máy giặt Electrolux Inverter 10 kg EWF1025DQWB - Hàng chính hãng - Giao HCM và 1 số tỉnh thành,"Thiết kế trang nhã - Điểm nhấn hoàn hảo cho không gian sốngMáy giặt Electrolux EWF1025DQWB 10kg UltimateCare 100 sở hữu thiết kế phẳng hiện đại, các chi tiết được gia công tỉ mỉ, đem tới một sản phẩm...",7509000,12299000,39,0.0,0,,Electrolux,may-giat-electrolux-inverter-10-kg-ewf1025dqwb-hang-chinh-hang-giao-hcm-va-1-so-tinh-thanh-p273472182.html?spid=274998319
275495609,Bộ nhớ trong Tecmiyo DDR4 8Gb/16GB bus 3200MHZ UDIMM Memoria Ram 25600 CL22 Chipset SS - hàng chính hãng,Hãng sản xuất: TecmiyoCông nghệ RAM: DDR4Dung lượng: 8GB/16GBTốc độ Bus: 3200MHzBảo hành: 60 tháng 1 đổi 1...,420000,420000,0,0.0,0,,Tecmiyo,bo-nho-trong-tecmiyo-ddr4-8gb-16gb-bus-3200mhz-udimm-memoria-ram-25600-cl22-chipset-ss-hang-chinh-hang-p275495609.html?spid=275495612
276404922,Loa thanh Soundbar Samsung HW-B550/XV - Hàng Chính Hãng,"Loa thanh Soundbar Samsung HW-B550/XV(2.1ch,410W, Bluetooth, Voice Enhancement)Loa siêu trầm tích hợpChế độ tăng cường âm trầm Bass BoostTự động tối ưu âm thanh với nội dung bằng AÂm thanh vòm...",2590000,2590000,0,0.0,0,,Samsung,loa-thanh-soundbar-samsung-hw-b550-xv-hang-chinh-hang-p276404922.html?spid=276404923
273185467,Điện thoại Samsung A05 4GB - hàng chính hãng,"ĐẶC ĐIỂM NỔI BẬT - Thoả sức chìm đắm trong không gian giải trí sống động - Màn hình lớn 6.7"""" IPS hiển thị sắc nétVận hành tác vụ mượt mà như mong đợi - Trải nghiệm chơi game tương đối tốt với chi...",3037000,3037000,0,0.0,0,,Samsung,dien-thoai-samsung-a05-4gb-hang-chinh-hang-p273185467.html?spid=273550748
41147065,Loa Soundbar 100 USB Genius - Hàng chính hãng,"Tên sản phẩmLoaHãng sản xuấtGeniusModelSOUNBAR 100Chuẩn âm thanh2Tổng công suất loa6WTần số đáp ứngN/ACổng tín hiệu vàoJắc 3,5mmKích thước32x6.5x7 cm...",229000,229000,0,5.0,8,,Genius,loa-soundbar-100-usb-genius-hang-chinh-hang-p41147065.html?spid=53090168
